first_name,last_name,primary_email,customer_type,youtube_handle,youtube_channel_url,company_primary,status,referral_source,preferred_communication_method,country_region,position_primary
Blender,Guru,,youtuber,blenderguru,https://youtube.com/@blenderguru,Blender Guru Studio,prospect,youtube_import,email,,Content Creator
CG,Fast Track,,youtuber,robbybranham,https://youtube.com/@robbybranham,CG Fast Track,prospect,youtube_import,email,,Content Creator
Kevin,Stratvert,,youtuber,KevinStratvert,https://youtube.com/@KevinStratvert,Kevin Stratvert,prospect,youtube_import,email,,Content Creator
Blender,Everything,,youtuber,blendereverything,https://youtube.com/@blendereverything,Blender Everything,prospect,youtube_import,email,,Content Creator
Blender,Academy,,youtuber,BlenderAcademyTutorials,https://youtube.com/@BlenderAcademyTutorials,Blender Academy,prospect,youtube_import,email,,Content Creator
Ro,Builder,,youtuber,RoBuilder,https://youtube.com/@RoBuilder,RoBuilder,prospect,youtube_import,email,,Content Creator
Inspiration,Tuts,,youtuber,InspirationTuts,https://youtube.com/@InspirationTuts,InspirationTuts,prospect,youtube_import,email,,Content Creator
Ask,NK,,youtuber,asknk,https://youtube.com/@asknk,askNK,prospect,youtube_import,email,,Content Creator
Ryan,King Art,,youtuber,RyanKingArt,https://youtube.com/@RyanKingArt,Ryan King Art,prospect,youtube_import,email,,Content Creator
Sost,cgTeCH,,youtuber,sostcgtech,https://youtube.com/@sostcgtech,Sost cgTeCH,prospect,youtube_import,email,,Content Creator
Osas,Art,,youtuber,osasart,https://youtube.com/@osasart,osasart,prospect,youtube_import,email,,Content Creator
Adi,Idiin,,youtuber,adiidiin,https://youtube.com/@adiidiin,adiidiin,prospect,youtube_import,email,,Content Creator
Poly,Playground,,youtuber,polyplayground,https://youtube.com/@polyplayground,Poly Playground,prospect,youtube_import,email,,Content Creator
Blender,Vitals,,youtuber,BlenderVitals,https://youtube.com/@BlenderVitals,BlenderVitals,prospect,youtube_import,email,,Content Creator
JB,3D Studio,,youtuber,jb3dstudio,https://youtube.com/@jb3dstudio,JB 3D Studio,prospect,youtube_import,email,,Content Creator
Delta,Hedra,,youtuber,deltahedra3D,https://youtube.com/@deltahedra3D,Deltahedra,prospect,youtube_import,email,,Content Creator
Brackeys,Team,,youtuber,Brackeys,https://youtube.com/@Brackeys,Brackeys,prospect,youtube_import,email,,Content Creator
CG,Boost,,youtuber,cgboost,https://youtube.com/@cgboost,CG Boost,prospect,youtube_import,email,,Content Creator
The,Parabox,,youtuber,theparabox,https://youtube.com/@theparabox,The Parabox,prospect,youtube_import,email,,Content Creator
Blender,Spanish,,youtuber,estoesblender,https://youtube.com/@estoesblender,BLENDER,prospect,youtube_import,email,,Content Creator
3D,Greenhorn,,youtuber,3dgreenhorn,https://youtube.com/@3dgreenhorn,3DGreenhorn,prospect,youtube_import,email,,Content Creator
Pastini,Explains,,youtuber,PastiniExplains,https://youtube.com/@PastiniExplains,Pastini,prospect,youtube_import,email,,Content Creator
Grant,Abbitt,,youtuber,grabbitt,https://youtube.com/@grabbitt,Grant Abbitt (Gabbitt),prospect,youtube_import,email,,Content Creator
CrossMind,Studio,,youtuber,CrossMindStudio,https://youtube.com/@CrossMindStudio,CrossMind Studio,prospect,youtube_import,email,,Content Creator
The,Adam,,youtuber,AdamArchh,https://youtube.com/@AdamArchh,The Adam,prospect,youtube_import,email,,Content Creator
3D,Dan,,youtuber,3DDan_,https://youtube.com/@3DDan_,3Dan,prospect,youtube_import,email,,Content Creator
Art,Vox,,youtuber,Artvox.,https://youtube.com/@Artvox.,Artvox,prospect,youtube_import,email,,Content Creator
